age,job,education,channel,month,day_of_week,duration,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,converted,vendor,lead_id,cost_per_lead,revenue_if_converted,revenue_realized
55,unknown,basic.4y,outbound,may,mon,336,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100035,12.0,640,0
34,services,high.school,outbound,may,mon,365,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100036,9.75,640,0
52,technician,basic.9y,outbound,may,mon,1666,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100037,18.5,640,0
41,admin.,university.degree,outbound,may,mon,577,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100038,9.75,640,0
56,technician,basic.4y,outbound,may,mon,137,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100039,9.75,640,0
58,management,university.degree,outbound,may,mon,366,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100040,9.75,640,0
32,entrepreneur,high.school,outbound,may,mon,314,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100041,34.0,640,0
38,admin.,professional.course,outbound,may,mon,160,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100042,46.5,640,0
57,admin.,university.degree,outbound,may,mon,212,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100043,18.5,640,0
44,admin.,university.degree,outbound,may,mon,188,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100044,9.75,640,0
42,technician,professional.course,outbound,may,mon,22,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100045,9.75,640,0
57,admin.,university.degree,outbound,may,mon,616,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100046,18.5,640,0
40,blue-collar,basic.9y,outbound,may,mon,178,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100047,12.0,640,0
35,admin.,university.degree,outbound,may,mon,355,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100048,27.25,640,0
45,blue-collar,basic.9y,outbound,may,mon,225,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100049,27.25,640,0
54,admin.,high.school,outbound,may,mon,160,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100050,34.0,640,0
39,housemaid,basic.4y,outbound,may,mon,266,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100051,9.75,640,0
60,admin.,high.school,outbound,may,mon,253,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100052,12.0,640,0
53,admin.,professional.course,outbound,may,mon,179,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100053,12.0,640,0
55,blue-collar,basic.4y,outbound,may,mon,269,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100054,46.5,640,0
55,technician,professional.course,outbound,may,mon,135,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100055,12.0,640,0
50,management,university.degree,outbound,may,mon,161,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100056,46.5,640,0
45,services,high.school,outbound,may,mon,787,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100057,9.75,640,0
55,unemployed,professional.course,outbound,may,mon,145,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100058,18.5,640,0
25,technician,university.degree,outbound,may,mon,174,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100059,12.0,640,0
47,entrepreneur,university.degree,outbound,may,mon,449,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100060,46.5,640,0
51,blue-collar,basic.9y,outbound,may,mon,812,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100061,34.0,640,0
42,blue-collar,basic.6y,outbound,may,mon,164,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100062,12.0,640,0
42,blue-collar,basic.6y,outbound,may,mon,366,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100063,12.0,640,0
48,admin.,high.school,outbound,may,mon,357,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100064,27.25,640,0
37,admin.,university.degree,outbound,may,mon,232,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100065,12.0,640,0
44,blue-collar,basic.9y,outbound,may,mon,91,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100066,27.25,640,0
33,admin.,unknown,outbound,may,mon,273,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100067,12.0,640,0
56,admin.,basic.9y,outbound,may,mon,158,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100068,46.5,640,0
44,blue-collar,basic.4y,outbound,may,mon,177,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100069,27.25,640,0
41,management,basic.6y,outbound,may,mon,200,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100070,34.0,640,0
44,management,university.degree,outbound,may,mon,172,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100071,9.75,640,0
47,admin.,university.degree,outbound,may,mon,176,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100072,46.5,640,0
57,unknown,unknown,outbound,may,mon,211,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100073,27.25,640,0
37,admin.,university.degree,outbound,may,mon,214,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100074,12.0,640,0
41,blue-collar,basic.4y,outbound,may,mon,1575,1.1,93.994,-36.4,4.857,5191.0,1,Vendor B - Coastal Direct,100075,34.0,640,640
55,technician,university.degree,outbound,may,mon,349,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100076,12.0,640,0
33,services,high.school,outbound,may,mon,337,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100077,18.5,640,0
55,management,unknown,outbound,may,mon,272,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100078,34.0,640,0
42,blue-collar,basic.9y,outbound,may,mon,208,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100079,12.0,640,0
50,blue-collar,basic.4y,outbound,may,mon,193,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100080,34.0,640,0
51,blue-collar,basic.4y,outbound,may,mon,212,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100081,34.0,640,0
38,admin.,high.school,outbound,may,mon,165,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100082,46.5,640,0
49,entrepreneur,university.degree,outbound,may,mon,1042,1.1,93.994,-36.4,4.857,5191.0,1,Vendor A - Meridian Leads,100083,18.5,640,640
38,technician,university.degree,outbound,may,mon,20,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100084,9.75,640,0
31,admin.,high.school,outbound,may,mon,246,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100085,46.5,640,0
41,management,basic.6y,outbound,may,mon,529,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100086,34.0,640,0
39,admin.,university.degree,outbound,may,mon,192,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100087,12.0,640,0
49,technician,basic.9y,outbound,may,mon,1467,1.1,93.994,-36.4,4.857,5191.0,1,Vendor F - Summit Outreach,100088,27.25,640,640
34,admin.,high.school,outbound,may,mon,188,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100089,12.0,640,0
35,admin.,university.degree,outbound,may,mon,180,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100090,27.25,640,0
57,unknown,unknown,outbound,may,mon,48,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100091,27.25,640,0
60,admin.,unknown,outbound,may,mon,213,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100092,12.0,640,0
33,unemployed,basic.9y,outbound,may,mon,545,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100093,46.5,640,0
42,blue-collar,basic.6y,outbound,may,mon,583,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100094,12.0,640,0
45,services,professional.course,outbound,may,mon,221,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100095,9.75,640,0
42,management,university.degree,outbound,may,mon,426,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100096,46.5,640,0
53,admin.,university.degree,outbound,may,mon,287,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100097,12.0,640,0
37,technician,professional.course,outbound,may,mon,197,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100098,34.0,640,0
44,blue-collar,basic.6y,outbound,may,mon,257,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100099,27.25,640,0
54,services,unknown,outbound,may,mon,229,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100100,18.5,640,0
49,blue-collar,basic.4y,outbound,may,mon,55,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100101,27.25,640,0
54,services,unknown,outbound,may,mon,400,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100102,18.5,640,0
52,admin.,university.degree,outbound,may,mon,197,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100103,9.75,640,0
52,admin.,university.degree,outbound,may,mon,190,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100104,9.75,640,0
43,services,high.school,outbound,may,mon,21,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100105,18.5,640,0
34,housemaid,basic.6y,outbound,may,mon,300,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100106,9.75,640,0
35,admin.,high.school,outbound,may,mon,123,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100107,27.25,640,0
42,entrepreneur,unknown,outbound,may,mon,293,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100108,12.0,640,0
43,technician,unknown,outbound,may,mon,325,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100109,34.0,640,0
60,retired,university.degree,outbound,may,mon,514,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100110,27.25,640,0
58,unemployed,basic.4y,outbound,may,mon,849,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100111,46.5,640,0
35,services,high.school,outbound,may,mon,194,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100112,34.0,640,0
55,blue-collar,basic.9y,outbound,may,mon,212,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100113,46.5,640,0
37,management,university.degree,outbound,may,mon,337,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100114,46.5,640,0
36,blue-collar,high.school,outbound,may,mon,286,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100115,34.0,640,0
52,admin.,university.degree,outbound,may,mon,247,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100116,9.75,640,0
57,blue-collar,unknown,outbound,may,mon,518,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100117,46.5,640,0
56,admin.,unknown,outbound,may,mon,364,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100118,46.5,640,0
48,blue-collar,basic.4y,outbound,may,mon,178,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100119,27.25,640,0
40,blue-collar,high.school,outbound,may,mon,98,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100120,12.0,640,0
49,blue-collar,high.school,outbound,may,mon,439,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100121,27.25,640,0
41,services,high.school,outbound,may,mon,139,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100122,46.5,640,0
45,technician,high.school,outbound,may,mon,79,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100123,9.75,640,0
32,admin.,university.degree,outbound,may,mon,175,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100124,27.25,640,0
42,admin.,university.degree,outbound,may,mon,262,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100125,18.5,640,0
50,admin.,basic.6y,outbound,may,mon,61,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100126,27.25,640,0
31,technician,professional.course,outbound,may,mon,78,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100127,34.0,640,0
56,retired,basic.4y,outbound,may,mon,102,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100128,9.75,640,0
41,technician,professional.course,outbound,may,mon,579,1.1,93.994,-36.4,4.857,5191.0,1,Vendor F - Summit Outreach,100129,27.25,640,640
37,blue-collar,basic.6y,outbound,may,mon,143,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100130,46.5,640,0
41,technician,professional.course,outbound,may,mon,677,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100131,27.25,640,0
35,blue-collar,unknown,outbound,may,mon,267,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100132,18.5,640,0
37,blue-collar,basic.6y,outbound,may,mon,345,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100133,46.5,640,0
52,management,university.degree,outbound,may,mon,185,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100134,46.5,640,0
39,management,university.degree,outbound,may,mon,207,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100135,34.0,640,0
39,housemaid,basic.4y,outbound,may,mon,69,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100136,9.75,640,0
56,blue-collar,basic.4y,outbound,may,mon,100,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100137,27.25,640,0
34,services,high.school,outbound,may,mon,125,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100138,9.75,640,0
45,blue-collar,basic.9y,outbound,may,mon,461,1.1,93.994,-36.4,4.857,5191.0,1,Vendor F - Summit Outreach,100139,27.25,640,640
43,unemployed,university.degree,outbound,may,mon,240,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100140,34.0,640,0
56,management,unknown,outbound,may,mon,70,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100141,12.0,640,0
39,management,university.degree,outbound,may,mon,193,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100142,34.0,640,0
53,blue-collar,basic.4y,outbound,may,mon,136,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100143,34.0,640,0
38,unknown,high.school,outbound,may,mon,73,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100144,27.25,640,0
42,blue-collar,basic.4y,outbound,may,mon,528,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100145,12.0,640,0
42,blue-collar,basic.4y,outbound,may,mon,541,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100146,12.0,640,0
35,admin.,high.school,outbound,may,mon,338,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100147,27.25,640,0
40,admin.,university.degree,outbound,may,mon,163,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100148,12.0,640,0
51,blue-collar,basic.4y,outbound,may,mon,87,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100149,34.0,640,0
60,blue-collar,basic.9y,outbound,may,mon,301,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100150,9.75,640,0
56,entrepreneur,unknown,outbound,may,mon,46,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100151,46.5,640,0
39,services,high.school,outbound,may,mon,52,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100152,34.0,640,0
56,entrepreneur,unknown,outbound,may,mon,204,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100153,46.5,640,0
40,blue-collar,unknown,outbound,may,mon,155,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100154,12.0,640,0
36,blue-collar,basic.9y,outbound,may,mon,98,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100155,34.0,640,0
51,blue-collar,unknown,outbound,may,mon,71,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100156,34.0,640,0
51,blue-collar,unknown,outbound,may,mon,243,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100157,34.0,640,0
43,technician,professional.course,outbound,may,mon,186,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100158,34.0,640,0
59,services,high.school,outbound,may,mon,579,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100159,27.25,640,0
24,management,university.degree,outbound,may,mon,165,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100160,46.5,640,0
37,blue-collar,basic.9y,outbound,may,mon,163,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100161,46.5,640,0
40,blue-collar,basic.9y,outbound,may,mon,46,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100162,12.0,640,0
42,blue-collar,basic.9y,outbound,may,mon,559,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100163,12.0,640,0
39,services,high.school,outbound,may,mon,2033,1.1,93.994,-36.4,4.857,5191.0,0,Vendor B - Coastal Direct,100164,34.0,640,0
37,entrepreneur,basic.6y,outbound,may,mon,85,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100165,18.5,640,0
38,services,high.school,outbound,may,mon,506,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100166,27.25,640,0
56,admin.,unknown,outbound,may,mon,114,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100167,46.5,640,0
40,blue-collar,unknown,outbound,may,mon,114,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100168,12.0,640,0
54,management,university.degree,outbound,may,mon,843,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100169,12.0,640,0
43,blue-collar,high.school,outbound,may,mon,181,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100170,18.5,640,0
36,services,high.school,outbound,may,mon,427,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100171,46.5,640,0
45,technician,university.degree,outbound,may,mon,292,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100172,9.75,640,0
42,admin.,university.degree,outbound,may,mon,192,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100173,18.5,640,0
43,services,high.school,outbound,may,mon,93,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100174,18.5,640,0
46,management,basic.9y,outbound,may,mon,128,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100175,12.0,640,0
44,services,high.school,outbound,may,mon,107,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100176,46.5,640,0
51,admin.,basic.6y,outbound,may,mon,303,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100177,27.25,640,0
28,services,high.school,outbound,may,mon,81,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100178,9.75,640,0
37,blue-collar,basic.9y,outbound,may,mon,270,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100179,46.5,640,0
34,technician,high.school,outbound,may,mon,228,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100180,12.0,640,0
46,blue-collar,basic.6y,outbound,may,mon,240,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100181,18.5,640,0
42,blue-collar,basic.9y,outbound,may,mon,673,1.1,93.994,-36.4,4.857,5191.0,1,Vendor C - Apex Data Group,100182,12.0,640,640
36,admin.,university.degree,outbound,may,mon,233,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100183,18.5,640,0
54,blue-collar,basic.4y,outbound,may,mon,102,1.1,93.994,-36.4,4.857,5191.0,0,Vendor A - Meridian Leads,100184,18.5,640,0
57,management,university.degree,outbound,may,mon,461,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100185,46.5,640,0
51,technician,basic.6y,outbound,may,mon,250,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100186,9.75,640,0
54,retired,high.school,outbound,may,mon,130,1.1,93.994,-36.4,4.857,5191.0,0,Vendor E - Fieldstone List,100187,9.75,640,0
49,blue-collar,basic.4y,outbound,may,mon,252,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100188,27.25,640,0
34,admin.,university.degree,outbound,may,mon,138,1.1,93.994,-36.4,4.857,5191.0,0,Vendor C - Apex Data Group,100189,12.0,640,0
41,technician,professional.course,outbound,may,mon,412,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100190,27.25,640,0
38,blue-collar,basic.9y,outbound,may,mon,179,1.1,93.994,-36.4,4.857,5191.0,0,Vendor F - Summit Outreach,100191,27.25,640,0
45,management,university.degree,outbound,may,mon,19,1.1,93.994,-36.4,4.857,5191.0,0,Vendor D - Northbridge Mktg,100192,46.5,640,0
